"currentRanking";"displayName";"thumbnailUrl";"userId";"userUrl";"tier";"points";"joined";"totalGoldMedals";"totalSilverMedals";"totalBronzeMedals";"orgs";"country"
25;"Russ W";"https://storage.googleapis.com/kaggle-avatars/thumbnails/393246-kg.jpeg";393246;"/sasrdw";"grandmaster";70388;"2015-07-30T00:13:52.503Z";9;4;1;NA;"United States"
26;"Daniel FG";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";221419;"/danielfg";"grandmaster";69598;"2014-08-03T19:08:38.097Z";7;10;4;NA;NA
27;"Mike Kim";"https://storage.googleapis.com/kaggle-avatars/thumbnails/64626-fb.jpg";64626;"/mikeskim";"grandmaster";68512;"2012-10-22T19:04:42.297Z";7;33;25;"Stealth";"United States"
28;"Nima Shahbazi";"https://storage.googleapis.com/kaggle-avatars/thumbnails/338701-fb.jpg";338701;"/nimashahbazi";"grandmaster";68030;"2015-04-20T20:37:58.653Z";8;8;0;NA;"Canada"
29;"piupiu";"https://storage.googleapis.com/kaggle-avatars/thumbnails/565506-kg.jpg";565506;"/pureheart";"master";67484;"2016-03-23T09:21:37.59Z";4;2;1;NA;NA
30;"mchahhou";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";135296;"/mchahhou";"master";67467;"2013-10-19T22:37:51.46Z";4;6;2;"Faculty of Science Dhar Mahraz";"Maroc"
31;"outrunner";"https://storage.googleapis.com/kaggle-avatars/thumbnails/933653-kg.jpg";933653;"/outrunner";"master";66748;"2017-02-28T02:37:59.207Z";2;8;1;NA;"Taiwan"
32;"CPMP";"https://storage.googleapis.com/kaggle-avatars/thumbnails/75976-gr.jpg";75976;"/cpmpml";"master";66399;"2012-12-16T12:03:05.527Z";4;8;2;NA;"France"
33;"ash hafez";"https://storage.googleapis.com/kaggle-avatars/thumbnails/254602-fb.jpg";254602;"/ashhafez";"grandmaster";64161;"2014-11-04T15:38:14.937Z";10;17;6;"Tempus Labs";"United States"
34;"anokas";"https://storage.googleapis.com/kaggle-avatars/thumbnails/505747-fb.jpg";505747;"/anokas";"master";63659;"2016-01-16T21:02:01.33Z";5;7;5;NA;"United Kingdom"
35;"clustifier";"https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png";68889;"/clustifier";"grandmaster";63202;"2012-11-11T23:05:57.843Z";7;31;19;NA;"Israel"
